header_tot_off_tgl,header_pass,header_rush,header_penalties,averages,player,points,total_yards,plays_offense,yds_per_play_offense,turnovers,fumbles_lost,first_down,pass_cmp,pass_att,pass_yds,pass_td,pass_int,pass_net_yds_per_att,pass_fd,rush_att,rush_yds,rush_td,rush_yds_per_att,rush_fd,penalties,penalties_yds,pen_fd,drives,score_pct,turnover_pct
Team Stats,341,4224,669,6.3,12,5,247,243,355,2697,17,7,7.2,137,293,1527,22,5.2,91,73,607,19,108,54.6,10.2,Own 31.3,3:01,6.25,38.5,3.01
Opp. Stats,229,3770,723,5.2,16,5,244,270,422,2699,16,11,5.9,142,268,1071,9,4.0,75,66,566,27,112,37.5,14.3,Own 30.1,3:04,6.7,33.7,2.02
Lg Rank Offense,1,2,,,12,16,3,,18,7,14,13,3,,17,4,1,1,,,,,,1,19,10,9,10,2,1
Lg Rank Defense,9,23,,,7,16,29,,31,28,11,5,10,,9,7,12,10,,,,,,22,5,16,26,31,24,13
