header_downs,header_red_zone,player,third_down_att,third_down_success,third_down_pct,fourth_down_att,fourth_down_success,fourth_down_pct,red_zone_att
Team Stats,125,52,41.6,21,17,81.0,48,32,66.7
Opp. Stats,140,60,42.9,20,11,55.0,41,23,56.1
Lg Rank Offense,,,9,,,1,,,3
Lg Rank Defense,,,28,,,13,,,12
