header_empty_0,header_fg1,header_fg2,header_fg3,header_fg4,header_fg5,block_auto_header_Scoring,header_kickoffs,ranker,name_display,age,pos,games,games_started,fga1,fgm1,fga2,fgm2,fga3,fgm3,fga4,fgm4,fga5,fgm5,fga,fgm,fg_long,fg_pct,xpa
1,Spencer Shrader,26,K,5,0,0,0,5,5,5,5,2,2,2,1,14,13,52,92.9,14,14,100.0,27,1568,2,7.4,58,
2,Michael Badgley,30,K,6,0,0,0,1,1,3,3,3,3,3,2,10,9,53,90.0,19,17,89.5,34,2034,1,2.9,60,
3,Rigoberto Sanchez,31,P,11,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,,8,356,2,25.0,45,
