ranker,name_display,age,pos,games,games_started,qb_rec,pass_cmp,pass_att,pass_cmp_pct,pass_yds,pass_td,pass_td_pct,pass_int,pass_int_pct,pass_first_down,pass_success,pass_long,pass_yds_per_att,pass_adj_yds_per_att,pass_yds_per_cmp,pass_yds_per_g,pass_rating,qbr,pass_sacked,pass_sacked_yds,pass_sacked_pct,pass_net_yds_per_att,pass_adj_net_yds_per_att,comebacks,gwd,awards
1,Daniel Jones,28,QB,11,11,8-3-0,242,350,69.1,2840,17,4.9,7,2.0,136,52.6,75,8.1,8.19,11.7,258.2,101.4,65.9,21,152,5.66,7.25,7.31,3,3,
2,Anthony Richardson,23,QB,2,0,,1,2,50.0,9,0,0.0,0,0.0,1,50.0,9,4.5,4.50,9.0,4.5,62.5,,0,0,0.00,4.50,4.50,0,0,
3,Riley Leonard,23,QB,1,0,,0,2,0.0,0,0,0.0,0,0.0,0,,,0.0,0.00,,0.0,39.6,0.9,0,0,0.00,0.00,0.00,0,0,
4,Tyler Warren,23,TE,11,8,,0,1,0.0,0,0,0.0,0,0.0,0,,,0.0,0.00,,0.0,39.6,0.3,0,0,0.00,0.00,0.00,0,0,
