header_empty_0,header_pr,header_kr,header_empty_3,ranker,name_display,age,pos,games,games_started,punt_ret,punt_ret_yds,punt_ret_td,punt_ret_long,punt_ret_yds_per_ret,kick_ret,kick_ret_yds,kick_ret_td
1,Josh Downs,24,WR,10,6,6,55,0,24,9.2,0,0,0,0,,381,
2,Ashton Dulin,28,WR,10,2,0,0,0,0,,11,328,0,50,29.8,478,
3,Anthony Gould,24,WR,9,1,10,117,0,21,11.7,20,531,0,39,26.6,651,
4,Ameer Abdullah,32,RB,7,0,0,0,0,0,,11,358,0,81,32.5,428,
