header_downs,header_red_zone,player,third_down_att,third_down_success,third_down_pct,fourth_down_att,fourth_down_success,fourth_down_pct,red_zone_att
Team Stats,145,52,35.9,27,18,66.7,37,19,51.4
Opp. Stats,149,66,44.3,19,13,68.4,37,20,54.1
Lg Rank Offense,,,26,,,6,,,24
Lg Rank Defense,,,30,,,24,,,8
