header_empty_0,header_pr,header_kr,header_empty_3,ranker,name_display,age,pos,games,games_started,punt_ret,punt_ret_yds,punt_ret_td,punt_ret_long,punt_ret_yds_per_ret,kick_ret,kick_ret_yds,kick_ret_td
1,Rico Dowdle,27,RB,12,6,0,0,0,0,,7,174,0,30,24.9,1277,
2,Trevor Etienne,21,RB,12,0,14,96,0,15,6.9,22,528,0,45,24.0,727,
3,Chuba Hubbard,26,RB,10,6,0,0,0,0,,6,156,0,27,26.0,665,
4,Hunter Renfrow,30,WR,6,2,2,13,0,13,6.5,0,0,0,0,,102,
5,David Moore,30,WR,4,2,1,0,0,0,0.0,0,0,0,0,,17,
6,DeeJay Dallas,27,RB,3,0,0,0,0,0,,6,141,0,28,23.5,141,
