header_empty_0,header_fg1,header_fg2,header_fg3,header_fg4,header_fg5,block_auto_header_Scoring,header_kickoffs,ranker,name_display,age,pos,games,games_started,fga1,fgm1,fga2,fgm2,fga3,fgm3,fga4,fgm4,fga5,fgm5,fga,fgm,fg_long,fg_pct,xpa
1,John Parker Romo,28,K,7,0,0,0,2,2,8,7,2,1,2,1,14,11,54,78.6,13,12,92.3,0,0,0,,,
2,Zane Gonzalez,30,K,3,0,0,0,0,0,0,0,3,3,3,3,6,6,56,100.0,6,6,100.0,11,686,5,45.5,62,
3,Younghoe Koo,31,K,1,0,0,0,0,0,1,1,2,1,0,0,3,2,41,66.7,2,2,100.0,5,280,1,20.0,56,
4,Bradley Pinion,31,P,11,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,,36,2200,6,16.7,61,
