ranker,name_display,age,pos,games,games_started,qb_rec,pass_cmp,pass_att,pass_cmp_pct,pass_yds,pass_td,pass_td_pct,pass_int,pass_int_pct,pass_first_down,pass_success,pass_long,pass_yds_per_att,pass_adj_yds_per_att,pass_yds_per_cmp,pass_yds_per_g,pass_rating,qbr,pass_sacked,pass_sacked_yds,pass_sacked_pct,pass_net_yds_per_att,pass_adj_net_yds_per_att,comebacks,gwd,awards
1,Michael Penix,25,QB,9,9,3-6-0,166,276,60.1,1982,9,3.3,3,1.1,99,46.4,69,7.2,7.34,11.9,220.2,88.5,56.4,13,101,4.50,6.51,6.66,0,0,
2,Kirk Cousins,37,QB,4,2,1-1-0,48,75,64.0,449,2,2.7,1,1.3,18,41.8,49,6.0,5.92,9.4,112.3,83.7,33.8,4,23,5.06,5.39,5.33,0,0,
