header_tot_off_tgl,header_pass,header_rush,header_penalties,averages,player,points,total_yards,plays_offense,yds_per_play_offense,turnovers,fumbles_lost,first_down,pass_cmp,pass_att,pass_yds,pass_td,pass_int,pass_net_yds_per_att,pass_fd,rush_att,rush_yds,rush_td,rush_yds_per_att,rush_fd,penalties,penalties_yds,pen_fd,drives,score_pct,turnover_pct
Team Stats,219,3627,666,5.4,10,6,210,214,351,2307,11,4,6.3,117,298,1320,12,4.4,73,64,507,20,120,35.0,7.5,Own 28.9,2:41,5.74,30.2,1.82
Opp. Stats,249,3558,688,5.2,15,6,213,212,328,2094,17,9,5.7,115,321,1464,8,4.6,86,61,514,12,113,40.7,11.5,Own 31.9,3:05,6.3,31.5,2.11
Lg Rank Offense,26,18,,,9,19,18,,20,18,29,4,15,,16,13,11,14,,,,,,25,25,28,25,22,18,26
Lg Rank Defense,15,16,,,9,9,15,,9,8,15,9,9,,27,26,7,23,,,,,,13,9,25,27,25,18,15
