header_empty_0,header_pr,header_kr,header_empty_3,ranker,name_display,age,pos,games,games_started,punt_ret,punt_ret_yds,punt_ret_td,punt_ret_long,punt_ret_yds_per_ret,kick_ret,kick_ret_yds,kick_ret_td
1,Tai Felton,22,WR,11,0,0,0,0,0,,6,149,0,34,24.8,158,
2,Myles Price,24,WR,11,0,27,278,0,43,10.3,41,1058,0,61,25.8,1336,
3,Ty Chandler,27,RB,1,0,0,0,0,0,,3,84,0,33,28.0,84,
