header_downs,header_red_zone,player,third_down_att,third_down_success,third_down_pct,fourth_down_att,fourth_down_success,fourth_down_pct,red_zone_att
Team Stats,130,40,30.8,15,8,53.3,34,19,55.9
Opp. Stats,150,56,37.3,11,8,72.7,35,17,48.6
Lg Rank Offense,,,31,,,16,,,18
Lg Rank Defense,,,15,,,30,,,4
