header_empty_0,header_pr,header_kr,header_empty_3,ranker,name_display,age,pos,games,games_started,punt_ret,punt_ret_yds,punt_ret_td,punt_ret_long,punt_ret_yds_per_ret,kick_ret,kick_ret_yds,kick_ret_td
1,Isaiah Davis,23,RB,11,0,0,0,0,0,,11,323,0,41,29.4,578,
2,Arian Smith,24,WR,11,5,0,0,0,0,,2,49,0,31,24.5,107,
3,Isaiah Williams,24,WR,9,0,22,280,1,74,12.7,19,501,0,38,26.4,847,
4,Kene Nwangwu,27,RB,6,0,0,0,0,0,,12,423,1,99,35.3,423,
5,Braelon Allen,21,RB,4,0,0,0,0,0,,4,100,0,31,25.0,193,
6,Khalil Herbert,27,RB,2,0,0,0,0,0,,1,22,0,22,22.0,22,
7,Xavier Gipson,24,WR,1,0,2,19,0,19,9.5,5,142,0,40,28.4,161,
8,Avery Williams,27,WR,1,0,4,41,0,17,10.3,5,133,0,29,26.6,174,
