header_tot_off_tgl,header_pass,header_rush,header_penalties,averages,player,points,total_yards,plays_offense,yds_per_play_offense,turnovers,fumbles_lost,first_down,pass_cmp,pass_att,pass_yds,pass_td,pass_int,pass_net_yds_per_att,pass_fd,rush_att,rush_yds,rush_td,rush_yds_per_att,rush_fd,penalties,penalties_yds,pen_fd,drives,score_pct,turnover_pct
Team Stats,219,3097,650,4.8,14,9,190,189,303,1603,12,5,4.7,92,308,1494,7,4.9,84,73,622,14,115,33.9,10.4,Own 29.8,2:45,5.83,27.0,1.68
Opp. Stats,291,3538,679,5.2,1,1,219,205,325,2131,18,0,6.2,120,335,1407,12,4.2,74,72,575,25,119,46.2,0.8,Own 32.0,2:53,5.9,29.7,2.39
Lg Rank Offense,26,29,,,19,31,28,,30,32,28,6,30,,9,7,23,6,,,,,,28,18,19,21,20,28,28
Lg Rank Defense,26,14,,,32,30,19,,7,10,19,32,17,,29,23,22,18,,,,,,3,32,26,16,14,11,27
