ranker,name_display,age,pos,games,games_started,qb_rec,pass_cmp,pass_att,pass_cmp_pct,pass_yds,pass_td,pass_td_pct,pass_int,pass_int_pct,pass_first_down,pass_success,pass_long,pass_yds_per_att,pass_adj_yds_per_att,pass_yds_per_cmp,pass_yds_per_g,pass_rating,qbr,pass_sacked,pass_sacked_yds,pass_sacked_pct,pass_net_yds_per_att,pass_adj_net_yds_per_att,comebacks,gwd,awards
1,Justin Fields,26,QB,9,9,2-7-0,128,204,62.7,1259,7,3.4,1,0.5,58,42.0,42,6.2,6.64,9.8,139.9,89.5,38.1,27,192,11.69,4.62,5.03,1,2,
2,Tyrod Taylor,36,QB,4,2,0-2-0,60,97,61.9,601,4,4.1,4,4.1,33,43.1,40,6.2,5.16,10.0,150.3,76.0,46.5,12,69,11.01,4.88,3.96,0,0,
3,Breece Hall,24,RB,11,11,,1,1,100.0,4,1,100.0,0,0.0,1,100.0,4,4.0,24.00,4.0,0.4,122.9,100.0,0,0,0.00,4.00,24.00,0,0,
4,Isaiah Williams,24,WR,9,0,,0,1,0.0,0,0,0.0,0,0.0,0,,,0.0,0.00,,0.0,39.6,1.2,0,0,0.00,0.00,0.00,0,0,
