header_downs,header_red_zone,player,third_down_att,third_down_success,third_down_pct,fourth_down_att,fourth_down_success,fourth_down_pct,red_zone_att
Team Stats,142,52,36.6,22,10,45.5,25,13,52.0
Opp. Stats,142,51,35.9,13,10,76.9,41,23,56.1
Lg Rank Offense,,,22,,,27,,,23
Lg Rank Defense,,,8,,,32,,,12
