header_downs,header_red_zone,player,third_down_att,third_down_success,third_down_pct,fourth_down_att,fourth_down_success,fourth_down_pct,red_zone_att
Team Stats,138,68,49.3,14,9,64.3,44,29,65.9
Opp. Stats,143,52,36.4,24,14,58.3,29,17,58.6
Lg Rank Offense,,,1,,,9,,,6
Lg Rank Defense,,,10,,,17,,,19
