ranker,name_display,age,pos,games,games_started,qb_rec,pass_cmp,pass_att,pass_cmp_pct,pass_yds,pass_td,pass_td_pct,pass_int,pass_int_pct,pass_first_down,pass_success,pass_long,pass_yds_per_att,pass_adj_yds_per_att,pass_yds_per_cmp,pass_yds_per_g,pass_rating,qbr,pass_sacked,pass_sacked_yds,pass_sacked_pct,pass_net_yds_per_att,pass_adj_net_yds_per_att,comebacks,gwd,awards
1,Jordan Love,27,QB,11,11,7-3-1,224,331,67.7,2560,15,4.5,3,0.9,123,50.3,59,7.7,8.23,11.4,232.7,102.0,70.0,17,126,4.89,6.99,7.47,4,3,
2,Malik Willis,26,QB,2,0,,3,3,100.0,13,1,33.3,0,0.0,2,100.0,7,4.3,11.00,4.3,6.5,124.3,100.0,0,0,0.00,4.33,11.00,0,0,
