header_empty_0,header_pr,header_kr,header_empty_3,ranker,name_display,age,pos,games,games_started,punt_ret,punt_ret_yds,punt_ret_td,punt_ret_long,punt_ret_yds_per_ret,kick_ret,kick_ret_yds,kick_ret_td
1,Dominic Lovett,23,WR,11,0,0,0,0,0,,1,22,0,22,22.0,22,
2,Kalif Raymond,31,WR,11,3,20,146,1,65,7.3,6,161,0,44,26.8,476,
3,Grant Stuard,27,LB,11,0,0,0,0,0,,3,72,0,28,24.0,72,
4,Jacob Saylors,24,RB,10,0,0,0,0,0,,26,699,0,39,26.9,710,
5,Craig Reynolds,29,RB,7,0,0,0,0,0,,5,118,0,26,23.6,122,
6,Sione Vaki,24,RB,5,0,0,0,0,0,,2,39,0,29,19.5,43,
