header_downs,header_red_zone,player,third_down_att,third_down_success,third_down_pct,fourth_down_att,fourth_down_success,fourth_down_pct,red_zone_att
Team Stats,137,50,36.5,23,13,56.5,43,28,65.1
Opp. Stats,138,50,36.2,20,10,50.0,36,22,61.1
Lg Rank Offense,,,24,,,14,,,7
Lg Rank Defense,,,9,,,8,,,25
