header_empty_0,header_pr,header_kr,header_empty_3,ranker,name_display,age,pos,games,games_started,punt_ret,punt_ret_yds,punt_ret_td,punt_ret_long,punt_ret_yds_per_ret,kick_ret,kick_ret_yds,kick_ret_td
1,Jalen Tolbert,26,WR,10,6,0,0,0,0,,5,105,0,30,21.0,277,
2,KaVontae Turpin,29,WR,9,2,8,55,0,19,6.9,35,918,0,45,26.2,1235,
3,Jaydon Blue,21,RB,4,0,0,0,0,0,,3,72,0,32,24.0,142,
4,Miles Sanders,28,RB,4,0,0,0,0,0,,3,68,0,24,22.7,215,
5,Jalen Moreno-Cropper,24,WR,3,0,3,27,0,10,9.0,2,38,0,21,19.0,65,
