header_downs,header_red_zone,player,third_down_att,third_down_success,third_down_pct,fourth_down_att,fourth_down_success,fourth_down_pct,red_zone_att
Team Stats,129,55,42.6,17,8,47.1,44,27,61.4
Opp. Stats,140,69,49.3,14,7,50.0,42,29,69.0
Lg Rank Offense,,,6,,,25,,,12
Lg Rank Defense,,,32,,,8,,,30
