header_tot_off_tgl,header_pass,header_rush,header_penalties,averages,player,points,total_yards,plays_offense,yds_per_play_offense,turnovers,fumbles_lost,first_down,pass_cmp,pass_att,pass_yds,pass_td,pass_int,pass_net_yds_per_att,pass_fd,rush_att,rush_yds,rush_td,rush_yds_per_att,rush_fd,penalties,penalties_yds,pen_fd,drives,score_pct,turnover_pct
Team Stats,165,3265,693,4.7,17,8,201,256,388,2258,11,9,5.4,110,277,1007,3,3.6,65,78,561,26,112,28.6,14.3,Own 29.6,2:44,6.42,29.1,1.36
Opp. Stats,274,3477,673,5.2,13,7,219,210,307,2118,20,6,6.4,114,342,1359,9,4.0,84,79,615,21,113,41.6,11.5,Own 32.8,3:08,6.1,30.5,2.24
Lg Rank Offense,31,26,,,28,29,23,,6,20,29,21,27,,24,29,32,30,,,,,,29,5,20,23,7,22,30
Lg Rank Defense,22,12,,,11,6,19,,4,9,25,21,22,,31,21,12,9,,,,,,11,9,30,28,20,15,23
