header_downs,header_red_zone,player,third_down_att,third_down_success,third_down_pct,fourth_down_att,fourth_down_success,fourth_down_pct,red_zone_att
Team Stats,145,55,37.9,25,9,36.0,29,10,34.5
Opp. Stats,130,48,36.9,15,9,60.0,35,21,60.0
Lg Rank Offense,,,20,,,32,,,32
Lg Rank Defense,,,13,,,20,,,22
