header_empty_0,header_pr,header_kr,header_empty_3,ranker,name_display,age,pos,games,games_started,punt_ret,punt_ret_yds,punt_ret_td,punt_ret_long,punt_ret_yds_per_ret,kick_ret,kick_ret_yds,kick_ret_td
1,Mason Tipton,25,WR,10,1,0,0,0,0,,8,247,0,75,30.9,280,
2,Rashid Shaheed,27,WR,9,9,10,129,0,40,12.9,1,29,0,29,29.0,662,
3,Kendre Miller,23,RB,7,0,0,0,0,0,,16,393,0,43,24.6,616,
4,Devin Neal,22,RB,7,0,0,0,0,0,,7,152,0,31,21.7,277,
5,Velus Jones Jr.,28,RB,5,0,0,0,0,0,,8,183,0,30,22.9,183,
6,Dante Pettis,30,WR,2,0,5,18,0,11,3.6,3,79,0,31,26.3,111,
