header_tot_off_tgl,header_pass,header_rush,header_penalties,averages,player,points,total_yards,plays_offense,yds_per_play_offense,turnovers,fumbles_lost,first_down,pass_cmp,pass_att,pass_yds,pass_td,pass_int,pass_net_yds_per_att,pass_fd,rush_att,rush_yds,rush_td,rush_yds_per_att,rush_fd,penalties,penalties_yds,pen_fd,drives,score_pct,turnover_pct
Team Stats,267,3640,720,5.1,14,3,227,220,368,2231,14,11,5.6,116,323,1409,14,4.4,87,91,763,24,121,38.0,11.6,Own 31.2,2:57,6.13,30.1,2.07
Opp. Stats,250,3562,677,5.3,18,5,225,262,417,2640,22,13,6.0,142,239,922,7,3.9,54,74,653,29,119,34.5,14.3,Own 30.0,2:41,5.8,29.9,2.01
Lg Rank Offense,12,16,,,19,2,8,,14,21,25,26,23,,5,8,5,16,,,,,,18,12,11,12,13,19,17
Lg Rank Defense,16,17,,,5,16,24,,30,25,28,2,11,,1,1,4,5,,,,,,26,5,13,9,10,14,12
