header_empty_0,header_pr,header_kr,header_empty_3,ranker,name_display,age,pos,games,games_started,punt_ret,punt_ret_yds,punt_ret_td,punt_ret_long,punt_ret_yds_per_ret,kick_ret,kick_ret_yds,kick_ret_td
1,LeQuint Allen,21,RB,11,0,0,0,0,0,,15,358,0,38,23.9,469,
2,Bhayshul Tuten,23,RB,11,0,0,0,0,0,,12,353,0,54,29.4,669,
3,Parker Washington,23,WR,11,5,18,309,2,87,17.2,3,75,0,32,25.0,810,
4,Dyami Brown,26,WR,10,6,0,0,0,0,,4,106,0,31,26.5,351,
5,Austin Trammell,27,WR,4,0,0,0,0,0,,1,54,0,54,54.0,100,
6,Tank Bigsby,24,RB,1,0,0,0,0,0,,1,20,0,20,20.0,32,
