header_downs,header_red_zone,player,third_down_att,third_down_success,third_down_pct,fourth_down_att,fourth_down_success,fourth_down_pct,red_zone_att
Team Stats,142,52,36.6,24,14,58.3,42,24,57.1
Opp. Stats,141,59,41.8,16,7,43.8,34,21,61.8
Lg Rank Offense,,,22,,,13,,,17
Lg Rank Defense,,,25,,,5,,,27
