header_tot_off_tgl,header_pass,header_rush,header_penalties,averages,player,points,total_yards,plays_offense,yds_per_play_offense,turnovers,fumbles_lost,first_down,pass_cmp,pass_att,pass_yds,pass_td,pass_int,pass_net_yds_per_att,pass_fd,rush_att,rush_yds,rush_td,rush_yds_per_att,rush_fd,penalties,penalties_yds,pen_fd,drives,score_pct,turnover_pct
Team Stats,167,2721,641,4.2,14,8,169,222,374,1868,7,6,4.5,110,222,853,4,3.8,45,80,599,14,115,27.8,12.2,Own 28.2,2:44,5.80,23.6,1.22
Opp. Stats,303,3878,665,5.8,10,5,219,232,332,2417,17,5,6.7,118,306,1461,16,4.8,80,61,431,21,118,44.9,6.8,Own 33.3,2:55,5.8,32.8,2.47
Lg Rank Offense,30,32,,,19,29,32,,11,30,32,10,31,,31,32,30,28,,,,,,30,9,31,23,21,31,32
Lg Rank Defense,29,26,,,24,16,19,,11,19,15,25,27,,23,25,31,27,,,,,,5,28,31,19,11,23,28
