header_empty_0,header_pr,header_kr,header_empty_3,ranker,name_display,age,pos,games,games_started,punt_ret,punt_ret_yds,punt_ret_td,punt_ret_long,punt_ret_yds_per_ret,kick_ret,kick_ret_yds,kick_ret_td
1,Julius Chestnut,25,RB,11,0,0,0,0,0,,3,81,0,32,27.0,120,
2,Chimere Dike,24,WR,11,7,12,285,2,90,23.8,47,1206,0,71,25.7,1760,
3,Mason Kinsey,27,WR,5,0,1,1,0,1,1.0,0,0,0,0,,15,
