header_downs,header_red_zone,player,third_down_att,third_down_success,third_down_pct,fourth_down_att,fourth_down_success,fourth_down_pct,red_zone_att
Team Stats,148,45,30.4,21,10,47.6,20,10,50.0
Opp. Stats,133,53,39.8,14,10,71.4,41,24,58.5
Lg Rank Offense,,,32,,,23,,,25
Lg Rank Defense,,,19,,,27,,,18
