header_tot_off_tgl,header_pass,header_rush,header_penalties,averages,player,points,total_yards,plays_offense,yds_per_play_offense,turnovers,fumbles_lost,first_down,pass_cmp,pass_att,pass_yds,pass_td,pass_int,pass_net_yds_per_att,pass_fd,rush_att,rush_yds,rush_td,rush_yds_per_att,rush_fd,penalties,penalties_yds,pen_fd,drives,score_pct,turnover_pct
Team Stats,264,4182,785,5.3,13,5,252,235,389,2688,16,8,6.4,120,362,1494,16,4.1,99,92,788,33,124,37.9,10.5,Own 30.7,3:03,6.46,33.7,2.17
Opp. Stats,334,4620,767,6.0,7,2,272,272,423,2734,21,5,6.1,147,318,1886,17,5.9,95,97,821,30,130,44.6,5.4,Own 27.9,2:45,6.1,35.5,2.51
Lg Rank Offense,22,11,,,10,14,7,,16,13,23,17,12,,1,9,4,22,,,,,,19,17,15,7,5,12,14
Lg Rank Defense,30,30,,,30,29,31,,25,23,24,28,14,,17,32,30,32,,,,,,7,31,2,10,19,29,29
