header_downs,header_red_zone,player,third_down_att,third_down_success,third_down_pct,fourth_down_att,fourth_down_success,fourth_down_pct,red_zone_att
Team Stats,164,68,41.5,28,14,50.0,42,20,47.6
Opp. Stats,142,57,40.1,13,9,69.2,42,30,71.4
Lg Rank Offense,,,11,,,20,,,29
Lg Rank Defense,,,21,,,25,,,31
