header_empty_0,header_fg1,header_fg2,header_fg3,header_fg4,header_fg5,block_auto_header_Scoring,header_kickoffs,ranker,name_display,age,pos,games,games_started,fga1,fgm1,fga2,fgm2,fga3,fgm3,fga4,fgm4,fga5,fgm5,fga,fgm,fg_long,fg_pct,xpa
1,Graham Gano,38,K,5,0,0,0,3,3,4,4,2,1,1,1,10,9,55,90.0,9,9,100.0,11,663,0,0.0,60,
2,Younghoe Koo,31,K,3,0,1,1,1,1,1,1,1,1,0,0,4,4,44,100.0,8,7,87.5,13,806,2,15.4,62,
3,Jude McAtamney,25,K,4,0,0,0,1,1,1,1,0,0,0,0,2,2,31,100.0,12,9,75.0,5,313,2,40.0,63,
4,Jamie Gillan,28,P,12,0,0,0,0,0,0,0,0,0,0,0,0,0,,,1,0,0.0,32,1756,4,12.5,55,
