header_tot_off_tgl,header_pass,header_rush,header_penalties,averages,player,points,total_yards,plays_offense,yds_per_play_offense,turnovers,fumbles_lost,first_down,pass_cmp,pass_att,pass_yds,pass_td,pass_int,pass_net_yds_per_att,pass_fd,rush_att,rush_yds,rush_td,rush_yds_per_att,rush_fd,penalties,penalties_yds,pen_fd,drives,score_pct,turnover_pct
Team Stats,226,3304,613,5.4,17,4,191,225,330,2063,17,13,5.8,116,260,1241,7,4.8,64,67,562,11,106,38.7,15.1,Own 30.9,2:58,5.96,31.0,2.07
Opp. Stats,269,3848,655,5.9,12,9,223,231,317,2279,18,3,6.7,117,317,1569,10,4.9,79,77,614,27,107,44.9,9.3,Own 28.6,3:15,6.3,35.8,2.39
Lg Rank Offense,24,25,,,28,7,26,,26,26,14,30,19,,28,18,23,8,,,,,,17,2,13,10,18,17,18
Lg Rank Defense,21,25,,,18,2,23,,5,12,19,30,28,,26,29,15,28,,,,,,6,21,5,32,27,30,26
