header_empty_0,header_pr,header_kr,header_empty_3,ranker,name_display,age,pos,games,games_started,punt_ret,punt_ret_yds,punt_ret_td,punt_ret_long,punt_ret_yds_per_ret,kick_ret,kick_ret_yds,kick_ret_td
1,Ollie Gordon,21,RB,11,1,0,0,0,0,,1,25,0,25,25.0,219,
2,Malik Washington,24,WR,11,3,14,207,1,74,14.8,25,662,0,45,26.5,1181,
3,D'Wayne Eskridge,28,WR,9,0,0,0,0,0,,20,515,0,54,25.8,577,
4,Tyreek Hill,31,WR,4,4,1,19,0,19,19.0,0,0,0,0,,284,
