header_downs,header_red_zone,player,third_down_att,third_down_success,third_down_pct,fourth_down_att,fourth_down_success,fourth_down_pct,red_zone_att
Team Stats,127,48,37.8,18,9,50.0,32,17,53.1
Opp. Stats,136,57,41.9,18,13,72.2,40,20,50.0
Lg Rank Offense,,,21,,,20,,,22
Lg Rank Defense,,,26,,,29,,,5
