header_tot_off_tgl,header_pass,header_rush,header_penalties,averages,player,points,total_yards,plays_offense,yds_per_play_offense,turnovers,fumbles_lost,first_down,pass_cmp,pass_att,pass_yds,pass_td,pass_int,pass_net_yds_per_att,pass_fd,rush_att,rush_yds,rush_td,rush_yds_per_att,rush_fd,penalties,penalties_yds,pen_fd,drives,score_pct,turnover_pct
Team Stats,259,3515,691,5.1,9,4,210,233,374,2292,18,5,5.8,111,293,1223,9,4.2,74,60,477,25,121,38.8,7.4,Own 31.2,2:52,5.91,29.0,2.06
Opp. Stats,284,3753,662,5.7,16,6,205,248,375,2679,19,10,6.7,134,260,1074,12,4.1,52,75,601,19,118,39.8,12.7,Own 31.0,2:39,5.8,31.6,2.25
Lg Rank Offense,14,20,,,7,7,18,,11,19,10,6,21,,17,20,17,20,,,,,,16,26,11,17,19,23,19
Lg Rank Defense,25,21,,,7,9,10,,22,27,22,6,26,,5,8,22,14,,,,,,15,8,21,7,8,19,25
