header_downs,header_red_zone,player,third_down_att,third_down_success,third_down_pct,fourth_down_att,fourth_down_success,fourth_down_pct,red_zone_att
Team Stats,148,58,39.2,19,8,42.1,32,16,50.0
Opp. Stats,138,55,39.9,24,11,45.8,27,18,66.7
Lg Rank Offense,,,15,,,30,,,25
Lg Rank Defense,,,20,,,7,,,29
