header_empty_0,header_pr,header_kr,header_empty_3,ranker,name_display,age,pos,games,games_started,punt_ret,punt_ret_yds,punt_ret_td,punt_ret_long,punt_ret_yds_per_ret,kick_ret,kick_ret_yds,kick_ret_td
1,RJ Harvey,24,RB,11,2,0,0,0,0,,16,353,0,29,22.1,792,
2,Tyler Badie,25,RB,10,0,0,0,0,0,,8,197,0,28,24.6,293,
3,Marvin Mims,23,WR,9,2,22,336,0,70,15.3,16,445,0,46,27.8,1071,
4,Michael Bandy,28,WR,2,0,5,29,0,12,5.8,0,0,0,0,,45,
