header_downs,header_red_zone,player,third_down_att,third_down_success,third_down_pct,fourth_down_att,fourth_down_success,fourth_down_pct,red_zone_att
Team Stats,148,57,38.5,8,4,50.0,36,21,58.3
Opp. Stats,152,44,28.9,11,5,45.5,28,10,35.7
Lg Rank Offense,,,18,,,20,,,15
Lg Rank Defense,,,1,,,6,,,1
