header_empty_0,header_pr,header_kr,header_empty_3,ranker,name_display,age,pos,games,games_started,punt_ret,punt_ret_yds,punt_ret_td,punt_ret_long,punt_ret_yds_per_ret,kick_ret,kick_ret_yds,kick_ret_td
1,Blake Corum,25,RB,11,0,0,0,0,0,,13,326,0,30,25.1,677,
2,Jordan Whittington,25,WR,11,6,0,0,0,0,,6,157,0,32,26.2,316,
3,Kyren Williams,25,RB,11,11,1,8,0,8,8.0,0,0,0,0,,988,
4,Xavier Smith,28,WR,10,1,18,142,0,20,7.9,12,274,0,32,22.8,501,
