header_tot_off_tgl,header_pass,header_rush,header_penalties,averages,player,points,total_yards,plays_offense,yds_per_play_offense,turnovers,fumbles_lost,first_down,pass_cmp,pass_att,pass_yds,pass_td,pass_int,pass_net_yds_per_att,pass_fd,rush_att,rush_yds,rush_td,rush_yds_per_att,rush_fd,penalties,penalties_yds,pen_fd,drives,score_pct,turnover_pct
Team Stats,306,3942,678,5.8,8,6,247,248,374,2732,30,2,7.0,148,289,1210,8,4.2,73,51,421,26,115,43.5,7.0,Own 32.6,2:50,6.03,34.0,2.63
Opp. Stats,179,3423,718,4.8,20,8,213,254,398,2293,13,12,5.3,119,289,1130,4,3.9,74,85,658,20,113,31.0,17.7,Own 28.6,2:57,6.4,29.4,1.50
Lg Rank Offense,6,9,,,3,19,3,,11,5,1,2,5,,20,22,20,19,,,,,,11,27,2,18,14,9,4
Lg Rank Defense,1,9,,,2,3,15,,28,13,8,3,6,,13,13,2,8,,,,,,30,2,5,20,28,9,2
