header_downs,header_red_zone,player,third_down_att,third_down_success,third_down_pct,fourth_down_att,fourth_down_success,fourth_down_pct,red_zone_att
Team Stats,121,47,38.8,19,13,68.4,47,31,66.0
Opp. Stats,150,53,35.3,34,17,50.0,35,15,42.9
Lg Rank Offense,,,16,,,5,,,5
Lg Rank Defense,,,4,,,8,,,2
