header_empty_0,header_fg1,header_fg2,header_fg3,header_fg4,header_fg5,block_auto_header_Scoring,header_kickoffs,ranker,name_display,age,pos,games,games_started,fga1,fgm1,fga2,fgm2,fga3,fgm3,fga4,fgm4,fga5,fgm5,fga,fgm,fg_long,fg_pct,xpa
1,Joshua Karty,23,K,8,0,0,0,4,3,5,3,4,3,2,1,15,10,51,66.7,26,23,88.5,36,2142,11,30.6,60,
2,Harrison Mevis,23,K,3,0,0,0,0,0,0,0,1,1,1,1,2,2,52,100.0,13,13,100.0,3,195,2,66.7,65,
3,Ethan Evans,24,P,11,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,,24,1552,21,87.5,65,
