header_downs,header_red_zone,player,third_down_att,third_down_success,third_down_pct,fourth_down_att,fourth_down_success,fourth_down_pct,red_zone_att
Team Stats,144,61,42.4,17,13,76.5,42,23,54.8
Opp. Stats,135,48,35.6,19,7,36.8,26,19,73.1
Lg Rank Offense,,,7,,,3,,,20
Lg Rank Defense,,,7,,,3,,,32
