header_empty_0,header_pr,header_kr,header_empty_3,ranker,name_display,age,pos,games,games_started,punt_ret,punt_ret_yds,punt_ret_td,punt_ret_long,punt_ret_yds_per_ret,kick_ret,kick_ret_yds,kick_ret_td
1,TreVeyon Henderson,23,RB,12,4,0,0,0,0,,9,209,0,28,23.2,947,
2,Marcus Jones,27,CB,12,6,16,234,1,87,14.6,0,0,0,0,,299,
3,Kyle Williams,23,WR,12,0,0,0,0,0,,3,86,0,36,28.7,194,
4,Rhamondre Stevenson,27,RB,9,8,0,0,0,0,,2,40,0,23,20.0,498,
5,Terrell Jennings,24,RB,6,0,0,0,0,0,,1,20,0,20,20.0,102,
6,Efton Chism,24,WR,5,0,0,0,0,0,,15,361,0,31,24.1,361,
7,Antonio Gibson,27,RB,5,0,0,0,0,0,,12,342,1,90,28.5,454,
