header_downs,header_red_zone,player,third_down_att,third_down_success,third_down_pct,fourth_down_att,fourth_down_success,fourth_down_pct,red_zone_att
Team Stats,136,47,34.6,17,11,64.7,27,21,77.8
Opp. Stats,143,58,40.6,20,6,30.0,33,16,48.5
Lg Rank Offense,,,27,,,7,,,1
Lg Rank Defense,,,22,,,2,,,3
