header_tot_off_tgl,header_pass,header_rush,header_penalties,averages,player,points,total_yards,plays_offense,yds_per_play_offense,turnovers,fumbles_lost,first_down,pass_cmp,pass_att,pass_yds,pass_td,pass_int,pass_net_yds_per_att,pass_fd,rush_att,rush_yds,rush_td,rush_yds_per_att,rush_fd,penalties,penalties_yds,pen_fd,drives,score_pct,turnover_pct
Team Stats,236,3632,643,5.6,14,7,205,197,308,2108,15,7,6.3,100,308,1524,12,4.9,80,78,643,25,105,37.1,11.4,Own 29.6,2:58,6.25,34.0,2.10
Opp. Stats,296,4257,674,6.3,6,1,234,223,328,2744,22,5,7.8,137,321,1513,10,4.7,80,77,638,17,111,48.6,5.4,Own 29.0,3:08,6.3,38.3,2.61
Lg Rank Offense,23,17,,,19,27,22,,28,24,22,13,14,,9,5,11,4,,,,,,21,13,20,10,11,10,16
Lg Rank Defense,28,31,,,31,30,26,,9,29,28,25,32,,27,27,15,25,,,,,,2,30,7,28,24,31,30
