header_empty_0,header_pr,header_kr,header_empty_3,ranker,name_display,age,pos,games,games_started,punt_ret,punt_ret_yds,punt_ret_td,punt_ret_long,punt_ret_yds_per_ret,kick_ret,kick_ret_yds,kick_ret_td
1,Jaylin Lane,23,WR,11,3,18,223,1,90,12.4,3,56,0,30,18.7,511,
2,Mike Sainristil,25,CB,11,8,1,0,0,0,0.0,0,0,0,0,,23,
3,Deebo Samuel,29,WR,10,6,0,0,0,0,,7,251,0,69,35.9,773,
4,Noah Igbinoghene,26,CB,9,0,0,0,0,0,,7,191,0,46,27.3,191,
5,Luke McCaffrey,24,WR,9,0,0,0,0,0,,26,769,0,58,29.6,972,
6,Chase Edmonds,29,RB,1,0,0,0,0,0,,4,93,0,29,23.3,93,
