header_downs,header_red_zone,player,third_down_att,third_down_success,third_down_pct,fourth_down_att,fourth_down_success,fourth_down_pct,red_zone_att
Team Stats,124,48,38.7,18,10,55.6,28,20,71.4
Opp. Stats,132,55,41.7,16,9,56.3,41,25,61.0
Lg Rank Offense,,,17,,,15,,,2
Lg Rank Defense,,,24,,,14,,,24
