header_empty_0,header_punt,ranker,name_display,age,pos,games,games_started,punt,punt_yds,punt_yds_per_punt,punt_ret_yds_opp,punt_net_yds,punt_net_yds_per_punt,punt_long,punt_tb,punt_tb_pct,punt_in_20,punt_in_20_pct
1,Mitch Wishnowsky,33,P,7,0,23,1051,45.7,41,1010,43.9,61,0,0.0,12,52.2,0,
2,Cameron Johnston,33,P,3,0,7,308,44.0,43,265,37.9,48,0,0.0,2,28.6,0,
3,Brad Robbins,27,P,1,0,4,158,39.5,6,152,38.0,48,0,0.0,1,25.0,0,
