header_downs,header_red_zone,player,third_down_att,third_down_success,third_down_pct,fourth_down_att,fourth_down_success,fourth_down_pct,red_zone_att
Team Stats,134,58,43.3,15,8,53.3,38,24,63.2
Opp. Stats,132,50,37.9,13,9,69.2,32,18,56.3
Lg Rank Offense,,,4,,,16,,,8
Lg Rank Defense,,,16,,,25,,,15
