header_empty_0,header_pr,header_kr,header_empty_3,ranker,name_display,age,pos,games,games_started,punt_ret,punt_ret_yds,punt_ret_td,punt_ret_long,punt_ret_yds_per_ret,kick_ret,kick_ret_yds,kick_ret_td
1,Dylan Laube,26,RB,11,0,0,0,0,0,,20,529,0,38,26.5,552,
2,Tre Tucker,24,WR,11,11,7,49,0,15,7.0,1,23,0,23,23.0,638,
3,Alex Bachman,29,WR,8,0,10,73,0,25,7.3,0,0,0,0,,82,
4,Raheem Mostert,33,RB,8,0,0,0,0,0,,17,518,0,54,30.5,673,
5,Zamir White,26,RB,4,0,0,0,0,0,,6,149,0,31,24.8,193,
