header_empty_0,header_fg1,header_fg2,header_fg3,header_fg4,header_fg5,block_auto_header_Scoring,header_kickoffs,ranker,name_display,age,pos,games,games_started,fga1,fgm1,fga2,fgm2,fga3,fgm3,fga4,fgm4,fga5,fgm5,fga,fgm,fg_long,fg_pct,xpa
1,Daniel Carlson,30,K,11,0,0,0,4,4,5,5,6,4,6,3,21,16,54,76.2,14,13,92.9,43,2524,5,11.6,59,
2,AJ Cole III,30,P,11,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,,1,18,0,0.0,18,
