header_tot_off_tgl,header_pass,header_rush,header_penalties,averages,player,points,total_yards,plays_offense,yds_per_play_offense,turnovers,fumbles_lost,first_down,pass_cmp,pass_att,pass_yds,pass_td,pass_int,pass_net_yds_per_att,pass_fd,rush_att,rush_yds,rush_td,rush_yds_per_att,rush_fd,penalties,penalties_yds,pen_fd,drives,score_pct,turnover_pct
Team Stats,165,2958,644,4.6,16,3,183,237,356,2084,13,13,5.2,116,247,874,4,3.5,48,82,651,19,123,26.8,13.0,Own 29.6,2:38,5.41,24.0,1.36
Opp. Stats,277,3538,681,5.2,13,6,206,234,351,2401,17,7,6.5,113,310,1137,14,3.7,76,84,651,17,116,40.5,11.2,Own 34.7,2:57,5.9,29.7,2.22
Lg Rank Offense,31,30,,,26,2,30,,17,25,26,30,29,,29,31,30,32,,,,,,31,7,20,27,31,30,29
Lg Rank Defense,23,14,,,11,9,11,,16,18,15,17,23,,25,14,28,2,,,,,,14,11,32,20,13,12,21
