header_downs,header_red_zone,player,third_down_att,third_down_success,third_down_pct,fourth_down_att,fourth_down_success,fourth_down_pct,red_zone_att
Team Stats,141,51,36.2,19,8,42.1,27,13,48.1
Opp. Stats,142,61,43.0,14,10,71.4,42,25,59.5
Lg Rank Offense,,,25,,,30,,,28
Lg Rank Defense,,,29,,,27,,,20
