header_empty_0,header_pr,header_kr,header_empty_3,ranker,name_display,age,pos,games,games_started,punt_ret,punt_ret_yds,punt_ret_td,punt_ret_long,punt_ret_yds_per_ret,kick_ret,kick_ret_yds,kick_ret_td
1,George Holani,26,RB,11,0,0,0,0,0,,16,387,0,34,24.2,475,
2,Tory Horton,23,WR,8,3,16,238,1,95,14.9,0,0,0,0,,399,
3,Dareke Young,26,WR,6,0,0,0,0,0,,10,322,0,60,32.2,370,
4,Cody White,27,WR,5,0,0,0,0,0,,4,106,0,36,26.5,166,
5,Rashid Shaheed,27,WR,3,2,5,60,0,20,12.0,5,105,0,27,21.0,222,
