ranker,name_display,age,pos,games,games_started,qb_rec,pass_cmp,pass_att,pass_cmp_pct,pass_yds,pass_td,pass_td_pct,pass_int,pass_int_pct,pass_first_down,pass_success,pass_long,pass_yds_per_att,pass_adj_yds_per_att,pass_yds_per_cmp,pass_yds_per_g,pass_rating,qbr,pass_sacked,pass_sacked_yds,pass_sacked_pct,pass_net_yds_per_att,pass_adj_net_yds_per_att,comebacks,gwd,awards
1,Sam Darnold,28,QB,11,11,8-3-0,207,298,69.5,2785,19,6.4,10,3.4,120,52.1,67,9.3,9.11,13.5,253.2,106.2,69.2,11,67,3.56,8.80,8.57,0,2,
2,Drew Lock,29,QB,3,0,,2,3,66.7,15,0,0.0,0,0.0,1,33.3,11,5.0,5.00,7.5,5.0,78.5,4.3,0,0,0.00,5.00,5.00,0,0,
3,Cooper Kupp,32,WR,10,10,,0,1,0.0,0,0,0.0,1,100.0,0,,,0.0,-45.00,,0.0,0.0,0.0,0,0,0.00,0.00,-45.00,0,0,
