header_downs,header_red_zone,player,third_down_att,third_down_success,third_down_pct,fourth_down_att,fourth_down_success,fourth_down_pct,red_zone_att
Team Stats,125,49,39.2,8,5,62.5,39,24,61.5
Opp. Stats,158,56,35.4,31,18,58.1,37,21,56.8
Lg Rank Offense,,,14,,,11,,,11
Lg Rank Defense,,,6,,,16,,,16
