header_downs,header_red_zone,player,third_down_att,third_down_success,third_down_pct,fourth_down_att,fourth_down_success,fourth_down_pct,red_zone_att
Team Stats,155,71,45.8,14,9,64.3,36,18,50.0
Opp. Stats,130,46,35.4,20,12,60.0,36,19,52.8
Lg Rank Offense,,,3,,,9,,,25
Lg Rank Defense,,,5,,,20,,,6
