ranker,name_display,age,pos,games,games_started,qb_rec,pass_cmp,pass_att,pass_cmp_pct,pass_yds,pass_td,pass_td_pct,pass_int,pass_int_pct,pass_first_down,pass_success,pass_long,pass_yds_per_att,pass_adj_yds_per_att,pass_yds_per_cmp,pass_yds_per_g,pass_rating,qbr,pass_sacked,pass_sacked_yds,pass_sacked_pct,pass_net_yds_per_att,pass_adj_net_yds_per_att,comebacks,gwd,awards
1,Justin Herbert,27,QB,11,11,7-4-0,250,376,66.5,2691,19,5.1,9,2.4,124,47.7,60,7.2,7.09,10.8,244.6,94.2,60.4,35,213,8.52,6.03,5.97,2,2,
2,Trey Lance,25,QB,2,0,,6,12,50.0,81,0,0.0,0,0.0,3,35.7,28,6.8,6.75,13.5,40.5,71.9,6.0,2,12,14.29,4.93,4.93,0,0,
