header_empty_0,header_fg1,header_fg2,header_fg3,header_fg4,header_fg5,block_auto_header_Scoring,header_kickoffs,ranker,name_display,age,pos,games,games_started,fga1,fgm1,fga2,fgm2,fga3,fgm3,fga4,fgm4,fga5,fgm5,fga,fgm,fg_long,fg_pct,xpa
1,Ka'imi Fairbairn,31,K,9,0,0,0,4,4,8,8,8,8,8,5,28,25,57,89.3,14,14,100.0,48,2976,10,20.8,62,
2,Matthew Wright,29,K,2,0,0,0,1,1,1,1,2,2,0,0,4,4,43,100.0,2,2,100.0,10,612,2,20.0,61,
