header_empty_0,header_pr,header_kr,header_empty_3,ranker,name_display,age,pos,games,games_started,punt_ret,punt_ret_yds,punt_ret_td,punt_ret_long,punt_ret_yds_per_ret,kick_ret,kick_ret_yds,kick_ret_td
1,Jaylin Noel,23,WR,11,3,23,244,0,53,10.6,12,309,0,38,25.8,775,
2,Tremon Smith,29,CB,11,0,0,0,0,0,,13,320,0,36,24.6,320,
3,Braxton Berrios,30,WR,4,0,3,25,0,10,8.3,3,81,0,32,27.0,143,
4,Dameon Pierce,25,RB,4,0,0,0,0,0,,4,92,0,26,23.0,118,
